Song,Title,Singer,About,일치여부
Think of Christmas,Think of Christmas,Anne-Marie,-,일치
Merry Christmas,We Wish You a Merry Christmas!,Charlotte Yonge,-,불일치
Christmas Tree Farm,Christmas Tree Farm,Taylor Swift,"“Christmas Tree Farm” is a Christmas single by American singer-songwriter Taylor Swift. The song was first announced on Good Morning America on December 5, 2019. It was later confirmed by Swift’s marketing team, Taylor Nation, that the song was titled “Christmas Tree Farm.”
It is Taylor’s first Christmas-themed music since her EP, The Taylor Swift Holiday Collection, which was released back in October 2007.
In a video published on her social media platforms, Taylor herself revealed that the song was written on the weekend before its release.
Christmas tree farms played a significant role in Taylor’s “magical childhood.” Back in March 2009, she spoke to Rolling Stone about her unusual upbringing:
We all had jobs [in the farm]. Mine was picking the praying mantis pods off of the trees, collecting them so that the bugs wouldn’t hatch inside people’s houses.",일치
My Only Wish (This Year),My Only Wish (This Year),Britney Spears,“My Only Wish (This Year)” is a Christmas song Britney recorded back in 2000. It was released originally in the Christmas compilation album Platinum Christmas.,일치
Cozy Little Christmas,Cozy Little Christmas,Katy Perry,"“Cozy Little Christmas” is Katy Perry’s second Christmas song after “Every Day is a Holiday”, which was released as promotion for H&M in 2015. Perry wrote the song about spending Christmas with her family in Copenhagen and the lyrics talk about not needing gifts as love is more important.
The song was released as an Amazon Music exclusive in 2018, with the song intended to be released to all platforms in the near future, which happened in 2019, when the song was released digitally.",일치
Christmas Eve,Merry Christmas Everyone!,Shakin’ Stevens,"One of many perennial Christmas classics in the UK, “Merry Christmas Everyone” actually had its original 1984 release delayed by 12 months in order to avoid clashing with “Do They Know It’s Christmas?”, which Shakin’ Stevens contributed to.",불일치
All I Want For Christmas Is You (SuperFestive!),All I Want for Christmas Is You!,Mariah Carey,"“All I Want For Christmas Is You” is a holiday classic, and an uptempo love song. Its narrator declares she doesn’t care about Christmas presents or lights; the best holiday present she can have is to be with the one she loves.
Released in 1994 as the lead single from Mariah Carey’s first holiday album and fourth studio album, Merry Christmas, the song has since become the Christmas standard. It has sold more than 14 million copies globally since its debut, making it one of the best-selling singles ever.
Over time, countless artists have covered the song, including Miley Cyrus, John Mayer, Shania Twain, Ariana Grande, Fifth Harmony, Demi Lovato, Cee Lo Green, Lady A; even Kylie Minogue featuring Mumford and Sons.
Perhaps the most famous cover artist of the song is…Mariah herself. In 2011, Carey re-recorded the song as a duet with Justin Bieber. A year later in 2012, Carey recorded a fun version with classroom instruments and children for The Tonight Show Starring Jimmy Fallon. In 2019, she even uploaded a new “Make My Wish Come True” version of the track to her YouTube channel.
The song’s influence has extended beyond music, too. In 2015, Carey released a book with the same title as her holiday staple, acknowledging the song’s longevity:
When I wrote ‘All I Want For Christmas Is You’ it was my dream for it to become a classic Christmas song. I am so proud of the song’s impact as it continues to create memories for fans each year. I am thrilled to be able to bring the story of the song to new generations of families with the picture book.
She also released a movie called Mariah Carey’s All I Want For Christmas Is You in 2017.
The song’s legacy remains unparalleled. It charts every holiday season since its original release, and is estimated to have earned Carey $60 million in royalties. The song is also referred to as “the biggest Christmas song of all time”, and was named the #1 holiday song of all time by Billboard. The song’s immense popularity has earned Mariah the title ‘Queen of Christmas.’ In 2017, this was a title she wasn’t exactly sure about:
I don’t accept that name because I feel like it’s [too much]. I humbly thank them and I do have an extraordinary love for the holiday season, and it is the best time of the year.
However, in 2022, she tried to trademark the title, but was unsuccessful in doing so.
After 25 years, the track finally reached No. 1 on the Billboard Hot 100 in 2019, becoming Mariah’s 19th song to do so and making the singer the solo artist with most Billboard Hot 100 chart-toppers. It also sets a new record of the longest run to No. 1 on the chart, surpassing Elton John’s re-recording of “Candle in the Wind.” It has since returned to the top of the charts in 2019, 2020, 2021, and 2022, making Mariah the first artist to ever have a number one song in four different decades.",불일치
25th,Our 25th Birthday!,Dave & Central Cee,"The name is a continuance of Dave’s birthday series. Predating versions are “My 19th Birthday” and “My 24th Birthday”.
Dave’s 25th birthday is the 5th of June; the day this song dropped, and Cench’s was the day before it. The EP dropped exactly as one ended and the other began. They combine this fact into the name of this song.",불일치
Warm on a Christmas Night,Warm on a Christmas Night,HONNE,"Warm on a Christmas Night is an iterative rendition of the famous song Warm on a Cold Night by Honne released on September 4th, 2014. This song features a violins, piano, acapella vocals of Andy Clutterbuck and some cheeky jingle bells in the chorus
Asides from that, it includes some slight changes to suit the Christmas theme like replacing reindeer instead of rabbit and “Cold” with “Christmas”
The original song has plenty of replay value including a remix featuring Amine.
Merry Christmas Honne :)",일치
All I Want For Christmas Is You,All I Want for Christmas Is You!,Mariah Carey,"“All I Want For Christmas Is You” is a holiday classic, and an uptempo love song. Its narrator declares she doesn’t care about Christmas presents or lights; the best holiday present she can have is to be with the one she loves.
Released in 1994 as the lead single from Mariah Carey’s first holiday album and fourth studio album, Merry Christmas, the song has since become the Christmas standard. It has sold more than 14 million copies globally since its debut, making it one of the best-selling singles ever.
Over time, countless artists have covered the song, including Miley Cyrus, John Mayer, Shania Twain, Ariana Grande, Fifth Harmony, Demi Lovato, Cee Lo Green, Lady A; even Kylie Minogue featuring Mumford and Sons.
Perhaps the most famous cover artist of the song is…Mariah herself. In 2011, Carey re-recorded the song as a duet with Justin Bieber. A year later in 2012, Carey recorded a fun version with classroom instruments and children for The Tonight Show Starring Jimmy Fallon. In 2019, she even uploaded a new “Make My Wish Come True” version of the track to her YouTube channel.
The song’s influence has extended beyond music, too. In 2015, Carey released a book with the same title as her holiday staple, acknowledging the song’s longevity:
When I wrote ‘All I Want For Christmas Is You’ it was my dream for it to become a classic Christmas song. I am so proud of the song’s impact as it continues to create memories for fans each year. I am thrilled to be able to bring the story of the song to new generations of families with the picture book.
She also released a movie called Mariah Carey’s All I Want For Christmas Is You in 2017.
The song’s legacy remains unparalleled. It charts every holiday season since its original release, and is estimated to have earned Carey $60 million in royalties. The song is also referred to as “the biggest Christmas song of all time”, and was named the #1 holiday song of all time by Billboard. The song’s immense popularity has earned Mariah the title ‘Queen of Christmas.’ In 2017, this was a title she wasn’t exactly sure about:
I don’t accept that name because I feel like it’s [too much]. I humbly thank them and I do have an extraordinary love for the holiday season, and it is the best time of the year.
However, in 2022, she tried to trademark the title, but was unsuccessful in doing so.
After 25 years, the track finally reached No. 1 on the Billboard Hot 100 in 2019, becoming Mariah’s 19th song to do so and making the singer the solo artist with most Billboard Hot 100 chart-toppers. It also sets a new record of the longest run to No. 1 on the chart, surpassing Elton John’s re-recording of “Candle in the Wind.” It has since returned to the top of the charts in 2019, 2020, 2021, and 2022, making Mariah the first artist to ever have a number one song in four different decades.",불일치
With You This Christmas,With You This Christmas,Why Don’t We,"Adding to Why Don’t We’s evergrowing Christmas saga, is “With You This Christmas,” released in November 2019. It follows 2016’s “You and Me at Christmas” and their 2017 EP A Why Don’t We Christmas as the band’s third segment of a Christmas release.
Whilst “With You This Christmas” is about the December holiday, band member Corbyn Besson told fans on Twitter that the song draws inspiration from the band’s love for Thanksgiving.
The song marks a big first in the band’s career as all of the band wrote the lyrics and member Daniel Seavey is the sole producer on the song. It was written during the band’s Europe 8 Letters Tour in October 2019.",일치
You Make It Feel Like Christmas (Feat. Blake Shelton),You Make It Feel Like Christmas!,Gwen Stefani,"The title track of Gwen Stefani’s christmas album You Make It Feel Like Christmas is a happy love song that features Gwen Stefani’s boyfriend Blake Shelton.
Stefani told Billboard how after releasing her personal 2016 album This Is What the Truth Feels Like, that she wanted to put out a Christmas album.
It was really a whim. The way it works is you have to get it done really early, and I had no idea that I would be able to write so quickly, because I’m such a slow writer. It just came right out. I did six songs in three sessions.""",불일치
Count on Christmas,Count on Christmas,Bebe Rexha,-,일치
Loneliest Time Of Year,Loneliest Time of Year!,Mabel,I love how this song is all about people who can’t celebrate Christmas with family’s or friends because there either homeless or cant afford things. we should know there out there.,불일치
Christmas Lights,Christmas Lights,Coldplay,"Marked by a somber mood, Coldplay’s anthem for Christmas is one that metaphorizes the lights and decorations of the festive season as beacons of warmth and hope for those feeling left in the cold during Christmas. The song follows a first-person perspective of a person mourning the verbally violent breakup of a relationship on Christmas Eve, with the heartening spirit of the holidays to guide him and others to a happier and merrier Christmas, as it should be.
Originally released in December 2010 as a surprise, straight from the recording sessions that would spawn the technicolor marvel known as Mylo Xyloto, “Christmas Lights”, for its festive themes, has been a recurring staple of Christmas celebrations for Coldplay fans each December.",일치
Baby It's Cold Outside (with Michael Bublé),"Baby, It’s Cold Outside!",Dean Martin,"“Baby, It’s Cold Outside” was originally written by Frank Loesser in 1944 and has subsequently been covered countless times during the festive period, perhaps most famously by Dean Martin and Marilyn Maxwell in 1959.
In the late 2010s, the track has faced backlash over its forceful nature towards the female protagonist, largely instigated by an American radio station banning the song in support of the #MeToo movement.",불일치
Kiss You This Christmas,Kiss You This Christmas,Why Don’t We,"“Kiss You This Christmas” is the lead single from A Why Don’t We Christmas – EP.
The song was released on November 21st in 2017, with the EP dropping just two days afterwards, and the track’s official music video dropping another two days later on November 25th.",일치
My Kind Of Present,My Kind of Present!,Meghan Trainor,-,불일치
My Only Wish (feat. Christopher),My Only Wish (This Year)!,Britney Spears,“My Only Wish (This Year)” is a Christmas song Britney recorded back in 2000. It was released originally in the Christmas compilation album Platinum Christmas.,불일치
Naughty List,Naughty List,Liam Payne & Dixie,"“Naughty List” marks Liam and Dixie´s first collaboration. The song was released on October 30th. Many fans were disappointed when he announced that Dixie was featured on the song. This is Liam’s second Christmas song, after All I Want (For Christmas) in 2019.",일치
I Want That,I Want That,(G)I-DLE,“i want that ” is a song from the album heat that is made by G-idle a popular global girl group,일치
Here With Me,Here With Me,d4vd,"“Here With Me” is about wanting to spend your life with someone you love whilst doing everything you can to keep them them around. It sheds light on the subject of spending time apart and it works as a comfort song because the main point through the song is that the person you love is there with you.
It gained over 90,000 thousand On Tik Tok and on 56,000 thousand SoundCloud within the first few weeks.
It is also one of d4vd’s most popular songs of all time, with it having over 30 Million across all platforms as of November 2022.",일치
vampire,vampire,Olivia Rodrigo,"“vampire” doubles as the lead single from Olivia Rodrigo’s sophomore album, GUTS, as well as her comeback single following the release of her debut album, SOUR, in 2021. A small number of lyrics for the track were steadily released on her website, merchandise, and through her social media prior to the song’s full release.
Rodrigo’s lyrics describe a boy that took advantage of, lied to, and ultimately used her. The references to a vampire in the song’s title, lyrics, and cover art are used as a metaphor to further illustrate this person who sucks the life out of the narrator, leaving her feeling powerless and drained. The song touches upon the themes of vulnerability, self-discovery, and the importance of liberating oneself from toxic relationship dynamics.",일치
Overdrive,Overdrive,Conan Gray,"“Overdrive” was found on the music streaming application Trebel by fans in July 2020, 7 months before the song’s release.
On February 11th, 2021, Conan uploaded an unknown countdown to his website, and a link to pre-save unknown music. The next day, he released a teaser on his social media accounts for a new song coming the next week.
The song’s name was revealed in another teaser two days before its release.
Lyrically, the song is about living in the moment, and experiencing love without any worries about what will happen next.",일치
Rush,Body (Remix)!,Russ Millions & Tion Wayne,"This is the remix to Russ & Tion Wayne’s viral hit “Body” featuring a star studded list of rappers including ArrDee, 3x3’s ZT & E1, Darkoo, Bugzy Malone, Russ' blood brother Buni and New York’s Fivio Foreign—the only American rapper on this track.
The track sees the 9 artists trading bars about their expensive lifestyles, girls and taking shots at their opps—with the various 3x3 members dissing sworn rivals OFB several times.
This is the second time Russ & Tion have released a remix to their songs following April 2019’s “Keisha & Becky (Remix)” that went viral—arguably a bigger hit than the original—thanks to a new verse by then up-and-coming rapper Aitch.",불일치
Chemical,Welcome to the Black Parade!,My Chemical Romance,"This song is on My Chemical Romance’s third studio album, entitled The Black Parade. The song, as well as the rest of the album, follows The Patient, a man who is dying, through death and beyond.
MCR frontman Gerard Way said in an interview:
I’d like to think that when you die death comes for you however you want, and I feel that it’s your strongest memory—either from childhood or adulthood. […]
For this particular character […] called ‘The Patient,’ his strongest memory is of being a child and his father is taking him to this parade.
So when death comes to him, it comes in the form of a Black Parade.",불일치
Señorita,Señorita,Shawn Mendes & Camila Cabello,"“Señorita” is a steamy track about an ambiguous relationship. The song marks the second collaboration between Shawn Mendes and Camila Cabello — they previously collaborated on November 2015’s “I Know What You Did Last Summer.”
Cabello and Mendes first revealed that they were working on new music together in a December 2018 Instagram post of them together backstage at iHeartRadio JingleBall and commenting “IKWYDLS part 2 ?” and “IKWYDLS PART 2!!!” respectively. According to Camila, Shawn came up with an idea for this song in the end of 2018, but it took some time before they could work on it.",일치
Bad Boy,Bad Boy,Juice WRLD & Young Thug,"On “Bad Boy,“ Juice WRLD and Young Thug reunite for an upbeat and quick-moving track in which the pair liken themselves to 1995 comedy Bad Boys‘ main cast, Will Smith and Martin Lawrence, boasting about their reckless lifestyles while touching on their items and wealth.
An early version of the track was originally leaked on January 4, 2020, and followed with the leak of this version on July 7, 2020 with a new and updated Juice WRLD verse.
Additionally, the track was first previewed in behind the scenes footage from the Cole Bennett directed music video for the track. The video was originally intended to release alongside the track on November 16, 2020, but both the track and video’s release were delayed for unknown reasons.
Despite the complications, on December 19, 2020, Lyrical Lemonade directly mentioned in a tweet the two main actors of Bad Boy and accompanied it with a picture of Juice and Thugger, hinting at an official release in the future. Cole Bennett retweeted the Lyrical Lemonade tweet later the same day, and the next day announced that he “has good news“ and accompanied it once again with a picture of Juice and Thugger.
On December 25, 2020, Cole Bennett once again took to his Twitter to confirm the title of the track alongside announcing the release date of January 15, 2021 with a six-second teaser video:",일치
HandClap,HandClap,Fitz and The Tantrums,"As a neo soul/indie pop song, it had peaked at #5 on the US Alternative Songs Billboard.
Lead singer of Fitz and The Tantrums, Fitz, claims that HandClap is “a primal tale of love and lust, a call to arms in the late hours of the night.""Fitz has also stated ""it’s the X-rated version of ‘Eternal Sunshine of the Spotless Mind’ happening on a dance floor.”",일치
Expectations,(If You Want Love) Lower Your Expectations!,Bo Burnham,"This song is about how people tend to make a list of idealistic, contradictory and sometimes unachievable traits to seek out in a romantic partner, and then later wonder why they haven’t found that person yet. Bo goes on to say that you cannot expect someone to be perfect in every way otherwise it will be impossible to be happy with anyone. Humans are flawed beings yet all of them deserve to love and to feel loved, therefore you must love despite flaws people may have.",불일치
Call Me Maybe,Call Me Maybe,Carly Rae Jepsen,"“Call Me Maybe” is a song by Canadian pop icon Carly Rae Jepsen. It initially served as the lead single for her original second studio album Curiosity, which was cut down to a 6 track EP just days before its release. After the immense success this song had, managing to top the Billboard Hot 100 chart the week of June 23rd, 2012; as well as being named “Song of the Summer” for that year by several publications, she embarked on a quick journey to make her second full-length studio album (and first worldwide release) Kiss, for which Call Me Maybe also served as the lead single.
Lyrically, the song is about a crush. The writing is straightforward and visual, with lines such as “Ripped jeans, skin was showing”. The simplicity of the lyrics, as well as their relatability, makes the song easy to latch on to and enjoy.
Sonically, the song is mainly held together by a four-on-the-floor style drum pattern, as well as string sounds that shine from the very start of the track until the end, where they slow down and get pitched to bring the energy to a stop. The song has been described as being “Bubblegum Pop”, referring to it’s light and sugary feel.",일치
Mad at Disney,Mad at Disney,salem ilese,"On “Mad at Disney”, Salem changes the ending of her life story, from the usual “And they lived happily ever after!” to “And she lived forever deceived!”, that says, Disney taught her to dream of true love, and growing up she realized that in real life it’s a lie.
The song went viral on Tik-Tok, where they made videos of themselves dressed as Disney princesses, which so far has 1.7 million videos on the platform.",일치
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,Mae Stephens Wrote the song If We Ever Broke Up to tell the story of Stephens' telling her ex-boyfriend’s father how his son treated her throughout their relationship,일치
Eyes Closed,Eyes Closed,Halsey,"“Eyes Closed” is about being in a new relationship but still having feelings for your ex.
The Weeknd contributed to the song’s melody, as Halsey clarified in a direct message to a fan. “Eyes Closed” debuted on Beats 1 radio on May 4, 2017 and is Halsey’s second single from hopeless fountain kingdom.
On May 19th, Halsey returned to her roots of Room 93 by releasing a stripped version of her track “Eyes Closed” and promoted the song on her Twitter shortly after.
On June 1st, Halsey performed the whole hopeless fountain kingdom album for VEVO: Presents. Eyes Closed is found below:",일치
Dance The Night,Dance The Night,Dua Lipa,"“Dance The Night” is an upbeat disco dance track by Dua Lipa. The song served as the lead single for Greta Gerwig’s Barbie soundtrack and was released on May 26, 2023 ahead of the film’s release in July. Dua Lipa made her debut acting performance in the film as Mermaid Barbie.
The song was used for a scene in the movie during Barbie’s blowout party in which all the Barbies and Kens break into choreographed dance.",일치
pick up the phone,pick up the phone,Young Thug & Travis Scott,"“Pick Up the Phone” details Travis, Thug and Quavo’s unfortunate situation. While they all want to be faithful and stay committed to this girl, she won’t show her love in return, refusing to pick up the phone—even while she’s not busy.
“Pick Up the Phone” is a bonus track off Young Thug’s mixtape, Jeffery, as well as the 11th track off Travis Scott’s Birds In The Trap Sing McKnight.
This song was originally a collaboration between Young Thug and Quavo, with Starrah singing the hook. Travis was in the studio when Young Thug recorded the song, and he wrote the bridge for Young Thug (early versions of this song exist where Travis sang the bridge instead).
Travis then began playing his altered version at clubs and called it his own single without notifying Young Thug. Travis teased the song for months before he finally leaked it on his own SoundCloud because the labels would not release it. An agreement was made that the song would be released on iTunes later that day as a joint single between Thug and Travis.
“Pick Up the Phone” and “goosebumps” are certified platinum by the RIAA as of January 11, 2017.",일치
I'm Yours,I’m Yours!,Jason Mraz,"Jason Mraz’s most-successful chart hit – throughout 2008 and 2009, it topped singles charts in Israel, New Zealand, Norway and Sweden while reaching top 5 in Australia, Belgium, Canada, Denmark, Italy, the Netherlands and Switzerland. In Mraz’s native United States, it topped several airplay charts but only hit a peak of #6 on the Billboard Hot 100, nevertheless it proved its longevity on the chart with a total of 76 weeks, the Hot 100’s longest-consecutive chart run at the time.
“I’m Yours” has a simple reggae-like sound arranged in the very popular I-V-vi-IV chord progression.",불일치
My Stupid Heart (Kids Version),My Stupid Heart!,Walk off the Earth,"The song “My Stupid Heart” by Walk off the Earth is about a couple who keeps going back to each other despite the pain they have caused each other. The lyrics describe the internal struggle of both parties – they know they should let go and move on, but their hearts keep leading them back to each other.",불일치
Barbie Dreams (feat. Kaliii),Barbie Dreams!,Nicki Minaj,"On “Barbie Dreams,” Nicki pays homage to The Notorious B.I.G., delivering her take on his classic 1994 track “Just Playing (Dreams).”
Unlike Biggie, who rapped about his attraction to popular female R&B singers, Nicki decides to roast prominent male artists and athletes. It’s all in good fun, though, as most of the rappers Nicki puts down are friends and collaborators. A few of them are even featured on the album Queen, including Lil Wayne and Swae Lee.
Nicki previously used the “Just Playing (Dreams)” beat on her 2007 track “Dreams” from her mixtape, Playtime Is Over.
In an August 2018 episode of her Beats 1 Queen Radio show with Zane Lowe, Nicki broke down the track, saying:
Reading the reaction to ‘Barbie Dreams’ is hilarious. Everyone is saying how disrespectful [the song] is and that’s why I fucking love it. ‘Barbie Dreams’ is gonna go down in history. Shout outs to B.I.G. you are still inspiring rappers every day. This man is still inspiring me every day. He’s one of the first rappers who had a sense of humor. I love dope writers who can write bars and make you laugh. Eminem [after that] too. I think [humor] shows a person’s IQ and [wittiness].",불일치
"Angel Pt. 2 (Feat. JVKE, Charlie Puth, Muni Long)",Angel Pt. 2!,Jimin (지민),"The song “Angel Pt. 2” by Jimin (지민) featuring Charlie Puth, JVKE, and Muni Long explores the themes of self-destructive behavior, letting go of someone for their own good, and accepting one’s flaws in relationships.
The chorus emphasizes the protagonist’s warning to an angelic figure not to get too close to them. The line “I’ll pull you down eventually” suggests that the protagonist believes their own struggles and negative tendencies will ultimately have a negative impact on the angel. The mention of “losing wings” symbolizes losing innocence or purity, implying that the protagonist’s influence can tarnish something beautiful.
In JVKE’s verse, he reflects on moments of strain in the relationship and hints at personal issues that have affected their behavior. He admits to saying hurtful things and acknowledges that forgetting the past is necessary to move on. The repetition of “no conversation” suggests a desire to avoid further complications.
Muni Long takes over the chorus, reinforcing the idea that people like the protagonist have a tendency to break beautiful things, potentially causing damage to the angelic figure.
Charlie Puth’s verse brings a sense of acceptance and resignation. He advises being cautious when moving on, highlighting the potential darkness one might encounter. He also acknowledges that the relationship wasn’t meant to last forever and believes that someone else will love the angel better. The line “it’s time to let me go” indicates a realization that holding on is not healthy for either party involved.
The pre-chorus, performed by JVKE and Muni Long, suggests that the protagonist understands their imperfections and doesn’t want to disappoint or hurt the angel. They encourage the angel to leave and find happiness elsewhere, expressing a desire for the angel’s well-being and acknowledging that they themselves are not perfect.
Overall, “Angel Pt. 2” delves into the complexities of relationships, exploring the self-awareness of one’s flaws and the need to let go in order to protect someone from potential harm. It demonstrates a bittersweet mixture of love, acceptance, and the recognition of personal limitations.",불일치
24K Magic,24K Magic,Bruno Mars,"“24K Magic” is a braggadocious party anthem described by Bruno Mars as an “invitation to the party” of his third album of the same name. It combines modern-referencing lyrics (like “#blessed”) with 80s-style production helmed by Shampoo Press & Curl and The Stereotypes.
The official video for the track dropped October 7, 2016. It’s the perfect complement to the party anthem, an opulent dance-fest, with Mars joined by an incredible looking squad living it up in Los Angeles and Las Vegas.
The song won the Grammy for “Record of the Year” at the 2018 Grammys held on January 28, 2018.",일치
Marvin Gaye (Feat. Meghan Trainor),Marvin Gaye!,Charlie Puth,"Charlie Puth uses ‘Marvin Gaye’ as a euphemism for sex in this song, featuring his friend Meghan Trainor.
While performing the track at the 2015 American Music Awards, the two famously locked lips onstage sparking many relationship rumors.",불일치
Lilith (Diablo IV Anthem),Lilith!,Halsey,"Lilith, the fourth track off Halsey’s fourth album If I Can’t Have Love, I Want Power. Halsey confirmed that “Lilith” was the first song written for the album in a Youtube interview with the album’s producers on September 1st, 2021.
This track was first hinted at when the @iichliwp Instagram account posted an oil painting by Dante Gabriel Rossetti titled Lady Lilith.
In the Bible, Lilith is also translated as a type of owl, explaining the owl present in the visual album.",불일치
Loser,Freaky Friday!,Lil Dicky,"“Freaky Friday” is a song that involves a crossover between Lil Dicky and Chris Brown.
The first verse is Lil Dicky speaking as Chris Brown and the second verse is Chris Brown living as Lil Dicky. Both artists choose different things to take advantage of while living the other person’s life.
The song is a nod to the movie Freaky Friday that was released in 1976 and remade in 2003. The movie created this premise where a girl and her mother switch places in order to experience each other’s lives.
Lil Dicky released the music video on his 30th birthday, which gave him high hopes for its success.",불일치
Hold On Tight,Hold On Tight,aespa (에스파),"“Hold On Tight” is a song recorded by South Korean girl group aespa. It was released on March 30, 2023 as part of the soundtrack of Jon S. Baird’s 2023 biographical drama film, Tetris. The track samples two nineteenth-century Russian folk songs more commonly known as themes from the Tetris games – “Kalinka”, written by Ivan Larionov, who is credited on the track due to the sample, and “Korobeiniki”. It was written by Aaron Hibell, Boy Matthews, Dave LaBrel and Georgia Ku and produced by Hibell.",일치
Know Me Too Well,You Know Me Too Well!,Nothing But Thieves,"This song explores the sexually-driven relationship between the narrator and his partner and his struggle to overcome his dangerous, impulsive and lustful attraction. The narrator reveals a sense of loneliness which is filled or, at least, numbed by the sexual nature of this relationship.
The narrator is aware of the fact the the two are incompatible in every way other than sexually and that, although the relationship is not healthy, he continues to find solace in it and becomes hooked – like a drug.",불일치
Mourning,Good Mourning!,Halsey,"“Good Mourning” is a short interlude at the halfway point of Halsey’s sophomore album, hopeless fountain kingdom. It suggests a change within the narrative of the album, referencing to the sun coming up on the horizon bringing some new feelings.
The singer muses about Luna (Halsey’s character in hopeless fountain kingdom). Halsey hinted that the song is from the perspective of the House of Aureum and their fear over her relationship with Solis Angelus, or ‘White Nite’.
The song is partially spoken which was confirmed by Halsey confirmed via Twitter to be her 12 year old brother, Dante, with the ending being sung with resonating chorus.",불일치
Ring Pop,Ring Pop,Jax (USA),-,일치
cheap sunglasses,Cheap Sunglasses!,RAC,-,불일치
how deep?,How Deep Is Your Love!,Calvin Harris & Disciples,"“How Deep Is Your Love” is a deep house dance track featuring uncredited vocals by Ina Wroldsen.
Harris previewed the song on June 21st 2015, during the Electric Daisy Carnival in Las Vegas, a few weeks before its eventual release as a stand-alone single. When asked why the song wasn’t part of a larger project, Harris told KISS-FM he “wanted to have a song out in the summer.”
“How Deep” was a massive international hit, charting top ten in over 20 countries and reaching #1 in 10 countries.
The surreal, dream-like music video, directed by Emil Nava, features Sports Illustrated swimsuit model (and Kendall Jenner bestie) Gigi Hadid.",불일치
Paper Plane,Paper Planes!,M.I.A.,"This penultimate song on Kala marries a deceptively airy beat with a song about tourist-murdering passport-counterfeiting thieves. The song can be read as the clichéd story of immigrants or the owner of an arms industry. The title subtly refers to transit visas (from Latin, charta visa means “paper that has been seen”).
It samples the 1982 Clash song “Straight to Hell”.
The song climbed into to the Top 10 of the US Hot 100 in mid-2008 after being featured in the trailer for the movie Pineapple Express, and then later used in the soundtrack for 2008 film Slumdog Millionaire.",불일치
Anti-Hero,Anti-Hero,Taylor Swift,"Described by Taylor herself as “one of my favorite songs that I have ever written”, “Anti-Hero” is the scintillating lead single from Midnights, her tenth studio album. Largely serving as a parallel to 2019’s “The Archer”, the song shows a darker self-perception from Swift than usual, and goes into detail about what she feels are her personal failures.
The track’s title and track number were revealed in the sixth video of her TikTok game Midnight Mayhem With Me on October 2nd, 2022. The next day, Swift released a ‘Behind The Song’ video to discuss the meaning and purpose behind the track, saying she “struggle[s] a lot with the idea that my life has become unmanageably sized"", and described the song as a “guided tour"" of the things she hates about herself.
On Halloween night of 2022, the song was announced to have debuted at #1 on the Billboard Hot 100. Marking her ninth number one single and fifth number one debut, “Anti-Hero” joined nine other songs from Midnights in constructing the entire top 10 – the first time ever in Billboard history.",일치
How Do I Say Goodbye,How Do I Say Goodbye,Dean Lewis,"“How Do I Say Goodbye” is a touching song in which, as explained by Dean Lewis, the vocalist is mourning his dying father, which honestly is not a particular theme we come across often. But as presented in this case, the addressee, i.e. Dean’s dying father, was someone who had a constant presence throughout his entire life His father meant so much to him that the prospect of the addressee passing is something which the singer cannot conceptualize. And such is this song’s thesis sentiment, i.e. Dean’s emotions being such that he can’t even conceive ‘how to say goodbye’ to his dad. Moreover, he is using the opportunity to let him know, most frankly put, that he doesn’t want him to die. And yes, by the time all is said and done, even if not stated forthrightly, it can be ascertained that the addressee is indeed the vocalist’s father. Accordingly Dean’s mom, who is still around, also plays a role in it all. And one thing the singer does assure his passing father of is that he will take care of her in his absence. Of course no matter what, Dean is never going to forget his dad. How can he, when he beholds his features even while looking in the mirror? So again, if nothing else, this song is unique in that we have a vocalist identifiable mourning his pops.",일치
sheluvme,sheluvme,Tai Verdes,-,일치
Shivers,Shivers,Ed Sheeran,"“Shivers” is the third single released from Ed Sheeran’s fourth solo studio album, = (Equals).
Sheeran first previewed the song by playing a snippet during his August 19 Instagram livestream. The track was officially announced by Sheeran just a few weeks later on September 2, one week before it and the music video were released.",일치
I'm Not Here To Make Friends,I’m Not Here To Make Friends!,Sam Smith,"“I’m Not Here To Make Friends”, together with “Unholy”, is perhaps a stand-out track on Sam Smith’s Gloria album. Sam performed it flawlessly on the BBC 1 Graham Norton Show on 27th January 2023. The song’s Calvin Harris-produced beat is insistent, another track on the album for dancing.
Sam has often commented on the negative aspects of fame; how difficult it is to build a relationship with a potential lover, when so many barriers, not least being in the public eye and year-long world-wide tours, have to be overcome.",불일치
Talking To Myself (demo),Talking to Myself!,Linkin Park,"First premiered at the Maximus Festival in Buenos Aires, Argentina on the 6th of May 2017, Talking To Myself is the third track off One More Light.
This song is primarily aimed at Chester from his wife Talinda’s point of view. The song relates the thoughts of a loved one while they watch their other half battle his (or her) inner struggles and yet are helpless to do anything.
Musically, the song has been described as being reminiscent of The Killers.
The official music video was released on July 20th, 2017. Later that day, lead singer Chester Bennington was found dead by apparent suicide.",불일치
World's Smallest Violin,World’s Smallest Violin!,AJR,"“World’s Smallest Violin” was released as the 11th track in AJR’s album, “OK ORCHESTRA” (released March 26th 2021)",불일치
Before You,Before You Go!,Lewis Capaldi,"“Before You Go” is about the aftermath of someone close committing suicide, including feeling like you are responsible for their death. Throughout the track, Lewis repeatedly questions whether he could have done something to prevent it.
Lewis teased the track by posting a snippet on his social media accounts one day before its release.",불일치
